iter	Passed	Remaining
660	62078	50620
661	62176	50530
662	62270	50436
663	62363	50341
664	62457	50247
665	62554	50156
666	62644	50059
667	62737	49964
668	62836	49874
669	62943	49791
670	63047	49705
671	63148	49616
672	63257	49534
673	63373	49457
674	63458	49356
675	63542	49254
676	63622	49150
677	63699	49043
678	63779	48938
679	63862	48835
680	63949	48736
681	64032	48634
682	64113	48530
683	64202	48433
684	64283	48329
685	64370	48231
686	64458	48132
687	64542	48031
688	64627	47931
689	64718	47835
690	64800	47732
691	64875	47625
692	64952	47519
693	65024	47409
694	65098	47302
695	65171	47193
696	65245	47085
697	65321	46978
698	65396	46872
699	65471	46765
700	65544	46657
701	65618	46549
702	65691	46442
703	65770	46338
704	65849	46234
705	65925	46129
706	66002	46024
707	66078	45919
708	66157	45815
709	66232	45709
710	66307	45603
711	66379	45496
712	66453	45389
713	66528	45284
714	66603	45178
715	66678	45073
716	66755	44969
717	66838	44869
718	66937	44780
719	67041	44694
720	67138	44603
721	67220	44503
722	67310	44408
723	67380	44299
724	67454	44194
725	67527	44088
726	67602	43983
727	67673	43876
728	67752	43773
729	67829	43670
730	67904	43566
731	67982	43463
732	68064	43364
733	68140	43261
734	68221	43160
735	68302	43059
736	68375	42955
737	68450	42851
738	68524	42746
739	68598	42642
740	68675	42539
741	68751	42436
742	68824	42331
743	68897	42227
744	68973	42124
745	69047	42020
746	69125	41919
747	69200	41816
748	69276	41714
749	69351	41611
750	69439	41515
751	69518	41415
752	69594	41312
753	69669	41210
754	69743	41106
755	69815	41002
756	69889	40899
757	69965	40798
758	70038	40694
759	70114	40592
760	70189	40490
761	70264	40388
762	70338	40285
763	70409	40181
764	70485	40079
765	70560	39978
766	70636	39877
767	70711	39774
768	70785	39673
769	70858	39570
770	70933	39468
771	71007	39366
772	71083	39266
773	71159	39165
774	71236	39064
775	71310	38963
776	71382	38860
777	71455	38758
778	71531	38658
779	71608	38558
780	71682	38457
781	71758	38357
782	71832	38255
783	71906	38154
784	71981	38053
785	72055	37952
786	72131	37853
787	72208	37753
788	72283	37653
789	72357	37552
790	72431	37452
791	72506	37351
792	72582	37252
793	72658	37153
794	72734	37053
795	72810	36954
796	72883	36853
797	72957	36752
798	73032	36653
799	73106	36553
800	73183	36454
801	73268	36360
802	73339	36258
803	73414	36159
804	73489	36060
805	73564	35960
806	73639	35861
807	73712	35761
808	73787	35662
809	73863	35563
810	73938	35465
811	74013	35366
812	74086	35266
813	74161	35167
814	74234	35067
815	74313	34971
816	74389	34872
817	74461	34773
818	74536	34674
819	74611	34575
820	74685	34477
821	74759	34378
822	74834	34280
823	74908	34181
824	74981	34082
825	75057	33984
826	75130	33886
827	75205	33788
828	75281	33690
829	75357	33593
830	75430	33494
831	75506	33397
832	75580	33299
833	75655	33201
834	75731	33104
835	75804	33005
836	75879	32908
837	75953	32810
838	76026	32712
839	76101	32614
840	76172	32516
841	76247	32418
842	76321	32320
843	76398	32224
844	76471	32127
845	76546	32030
846	76624	31934
847	76700	31837
848	76774	31740
849	76849	31643
850	76923	31546
851	76998	31450
852	77071	31352
853	77146	31256
854	77221	31159
855	77297	31063
856	77371	30966
857	77448	30871
858	77523	30774
859	77597	30677
860	77670	30580
861	77744	30484
862	77818	30387
863	77891	30291
864	77966	30194
865	78041	30099
866	78118	30004
867	78196	29909
868	78271	29813
869	78346	29717
870	78422	29622
871	78496	29526
872	78572	29430
873	78648	29335
874	78723	29240
875	78797	29144
876	78872	29048
877	78946	28953
878	79021	28857
879	79097	28762
880	79171	28667
881	79249	28572
882	79324	28477
883	79398	28382
884	79476	28288
885	79552	28193
886	79626	28098
887	79700	28002
888	79773	27907
889	79847	27812
890	79923	27717
891	79998	27622
892	80073	27528
893	80147	27433
894	80222	27338
895	80296	27243
896	80372	27149
897	80448	27055
898	80525	26961
899	80600	26866
900	80676	26772
901	80754	26679
902	80828	26584
903	80904	26490
904	80976	26395
905	81050	26301
906	81123	26206
907	81195	26111
908	81269	26016
909	81344	25923
910	81418	25828
911	81491	25734
912	81569	25641
913	81645	25547
914	81718	25453
915	81793	25359
916	81869	25266
917	81945	25172
918	82021	25079
919	82094	24985
920	82168	24891
921	82241	24797
922	82317	24704
923	82393	24610
924	82469	24517
925	82544	24424
926	82620	24331
927	82695	24238
928	82771	24145
929	82845	24051
930	82918	23958
931	82991	23864
932	83069	23772
933	83149	23680
934	83226	23588
935	83303	23495
936	83378	23402
937	83453	23310
938	83528	23217
939	83603	23124
940	83677	23031
941	83752	22938
942	83827	22845
943	83901	22752
944	83994	22665
945	84066	22571
946	84139	22478
947	84214	22386
948	84290	22293
949	84365	22201
950	84439	22108
951	84515	22016
952	84590	21924
953	84668	21832
954	84745	21740
955	84819	21648
956	84891	21555
957	84966	21463
958	85039	21370
959	85114	21278
960	85189	21186
961	85263	21094
962	85337	21002
963	85412	20910
964	85488	20818
965	85562	20726
966	85637	20634
967	85715	20543
968	85791	20451
969	85868	20360
970	85940	20268
971	86015	20176
972	86088	20084
973	86161	19992
974	86234	19900
975	86310	19808
976	86384	19717
977	86458	19625
978	86533	19534
979	86607	19442
980	86681	19350
981	86759	19260
982	86831	19168
983	86906	19076
984	86981	18985
985	87053	18894
986	87129	18802
987	87203	18711
988	87278	18620
989	87351	18529
990	87426	18437
991	87498	18346
992	87574	18255
993	87649	18164
994	87723	18073
995	87800	17983
996	87875	17892
997	87952	17801
998	88030	17711
999	88109	17621
