iter	Passed	Remaining
262	1350	4812
263	1354	4802
264	1359	4795
265	1363	4788
266	1368	4780
267	1372	4774
268	1377	4767
269	1382	4760
270	1386	4753
271	1391	4747
272	1396	4741
273	1400	4733
274	1405	4728
275	1410	4721
276	1415	4715
277	1420	4709
278	1424	4702
279	1429	4695
280	1433	4688
281	1438	4681
282	1442	4674
283	1447	4668
284	1452	4662
285	1457	4656
286	1461	4649
287	1466	4643
288	1471	4638
289	1475	4630
290	1480	4625
291	1485	4620
292	1490	4613
293	1494	4606
294	1499	4601
295	1504	4595
296	1508	4587
297	1514	4583
298	1519	4577
299	1523	4571
300	1528	4563
301	1533	4558
302	1537	4552
303	1542	4546
304	1547	4540
305	1551	4533
306	1556	4526
307	1560	4520
308	1565	4514
309	1570	4508
310	1575	4502
311	1579	4496
312	1584	4488
313	1588	4482
314	1593	4476
315	1597	4469
316	1602	4463
317	1607	4457
318	1611	4451
319	1616	4444
320	1621	4439
321	1625	4432
322	1630	4425
323	1635	4421
324	1640	4416
325	1645	4412
326	1650	4406
327	1655	4401
328	1660	4396
329	1665	4390
330	1669	4384
331	1675	4379
332	1679	4373
333	1684	4366
334	1689	4361
335	1693	4355
336	1698	4349
337	1703	4343
338	1708	4339
339	1713	4334
340	1718	4327
341	1723	4323
342	1727	4316
343	1732	4311
344	1737	4304
345	1742	4300
346	1747	4295
347	1752	4289
348	1756	4284
349	1762	4279
350	1767	4274
351	1771	4268
352	1776	4262
353	1781	4257
354	1786	4252
355	1791	4246
356	1796	4241
357	1801	4236
358	1805	4229
359	1810	4224
360	1815	4220
361	1820	4214
362	1824	4208
363	1829	4202
364	1834	4196
365	1838	4189
366	1843	4183
367	1847	4177
368	1852	4171
369	1857	4166
370	1862	4162
371	1867	4156
372	1871	4150
373	1877	4145
374	1881	4139
375	1886	4134
376	1891	4129
377	1896	4124
378	1901	4118
379	1905	4111
380	1910	4107
381	1915	4101
382	1920	4096
383	1925	4090
384	1929	4085
385	1934	4078
386	1938	4072
387	1943	4067
388	1947	4060
389	1952	4055
390	1957	4050
391	1962	4044
392	1966	4038
393	1971	4033
394	1976	4027
395	1980	4021
396	1985	4016
397	1990	4010
398	1995	4005
399	1999	3999
400	2004	3993
401	2008	3987
402	2012	3980
403	2017	3975
404	2022	3969
405	2026	3963
406	2031	3958
407	2035	3952
408	2040	3946
409	2045	3940
410	2050	3936
411	2055	3930
412	2060	3925
413	2064	3919
414	2069	3913
415	2073	3907
416	2078	3902
417	2083	3897
418	2087	3891
419	2093	3887
420	2098	3882
421	2102	3877
